Sex,Branch,Dropper?,Mom's Education,Dad's Education,Study Time?,Hostel?,"At the time of Spardha/Kirti/Manthan, approx. time given per day? (hours)","Time spent outside your room[except classes]? (daily average, in hours)",Attendance?,Relationship status?,Library?,Sleep Duration(Hrs)?,Tut taken seriously,Quiz taken seriously,Midsem taken seriously,Endsem taken seriously,Aiming for branch change,Coaching CitySound,Coaching NameSound,Home CitySound,Dad's JobSound
0,5,1,3,3,1,0,0,6,87.5,1,0,0,2,5,5,5,1,2,1,3,4
1,7,0,1,2,0,3,2,12,95,1,1,0,2,5,5,5,1,9,8,8,6
1,2,0,2,2,0,3,3,9,87.5,1,1,-1,3,4,5,5,1,5,2,8,7
0,5,1,4,4,0,9,6,14,95,1,2,-2,5,5,5,5,5,5,1,8,4
0,9,0,0,3,1,5,3,2,95,1,1,1,5,5,5,5,5,5,8,8,8
1,4,1,3,3,1,3,0,10,87.5,0,2,0,4,5,5,5,2,5,2,8,8
0,6,0,2,4,0,6,0.66,3,87.5,1,0,-1,2,4,4,4,1,5,1,8,8
0,1,0,3,3,0,0,2,14,87.5,1,0,0,1,2,4,5,1,1,8,8,6
0,8,0,3,4,1,1,2,10,87.5,1,1,1,3,4,4,4,4,5,7,8,7
0,8,0,4,4,2,6,1,10,95,1,1,1,3,5,5,5,1,8,8,7,5
1,5,0,4,4,0,3,5,12,95,1,0,1,2,5,5,5,2,5,7,8,6
1,4,0,4,3,0,3,0,15,95,1,0,-1,5,5,5,5,5,8,1,7,4
1,1,0,4,3,0,3,0,11,87.5,1,1,1,2,5,5,5,1,5,2,8,6
0,5,1,3,4,1,5,0,3,87.5,1,1,1,3,5,5,5,4,9,2,8,7
1,3,0,4,4,2,3,4,9,95,1,1,0,3,4,4,5,3,5,8,8,7
0,3,0,3,3,1,5,6,3,87.5,1,1,1,2,5,5,5,3,5,1,8,7
0,3,0,4,4,0,5,6,8,95,1,1,1,3,5,5,5,1,8,9,7,8
0,7,0,4,4,0,4,7,6,87.5,1,1,1,3,4,5,5,3,6,2,8,6
0,5,0,4,4,1,7,2,5,87.5,1,0,-1,4,5,5,5,5,5,7,8,6
0,9,0,3,3,1,0,4,3,95,1,0,1,2,5,5,5,5,6,8,8,6
0,5,1,2,4,0,5,5,12,95,1,0,0,3,5,5,5,5,6,4,8,6
1,1,1,4,4,1,3,5,10,95,0,2,1,4,4,3,2,1,6,2,8,6
0,1,0,1,3,1,1,3,2,95,1,0,1,3,5,5,5,1,8,8,7,7
0,6,1,4,4,0,9,3,7,87.5,1,2,-1,2,3,4,5,2,6,8,8,4
0,8,1,3,4,0,5,5,10,62.5,1,1,-1,2,3,4,5,4,1,6,8,6
0,1,0,3,4,0,4,2,1,95,1,0,0,4,5,5,5,1,5,1,8,7
1,5,0,4,4,1,3,0,9,95,1,0,0,4,5,5,5,3,5,7,3,6
0,4,0,3,3,0,8,2.5,12,95,1,0,1,2,5,5,5,5,2,8,3,3
0,4,0,3,3,0,1,1,11,87.5,1,0,1,2,4,5,5,2,8,9,7,7
0,5,0,4,3,1,2,1,2,87.5,1,1,-1,3,4,5,5,3,5,8,8,7
1,8,1,2,2,2,3,3,12,95,1,1,0,4,5,4,5,4,5,8,2,6
0,8,0,4,4,1,8,4,5,95,1,0,1,4,5,5,5,5,5,8,8,3
0,5,1,2,3,2,7,3,8,95,1,2,1,3,4,5,5,4,6,2,2,6
